ref,address,eircode,electoral_area,valuation,ds_x,ds_y
"DS-095-21","CBS Sexton Street, Roxborough Road, Limerick V94 NF25","V94 NF25","Limerick City East","250000","558032","656669"
"DS-109-21","20 Johnsgate Village, Johnsgate, Limerick V94 EHW0","V94 EHW0","Limerick City North","50000","558211","657206"
"DS-051-21","11 O'Curry Street, Limerick V94 Y959","V94 Y959","Limerick City West","150000","557018","656606"
"DS-004-21","West End, Church Street, Dromcollogher, Co. Limerick","","Newcastle West","90000","537943","621181"
"DS-104-21","Feoghanagh, Co. Limerick","V42P578","Newcastle West","40000","533847","626297"
"DS-105-21","Feoghanagh, Co. Limerick","V42FT53","Newcastle West","50000","533966","626225"
"DS-012-21","West End, Kilfinane, Co. Limerick","V35 EK77","Cappamore/Kilmallock","60000","567931","623082"
"DS-034-21","Ballynacragga, Foynes, Co. Limerick V94 T2K0","V94 T2K0","Adare/Rathkeale","275000","524814","651646"
"DS-003-21","Main Street, Ballingarry, Co. Limerick","","Adare/Rathkeale","40000","541394","636078"
"DS-075-17","9 Saint Munchin's Terrace, Sexton Street North, Limerick","V94WYH4","Limerick City North","40000","556920","658086"
"DS-099-21","30 William Street Upper, Limerick","","Limerick City East","80000","557979","656769"
"DS-088-21","2 Ryan's Cottage's, Rosbrien Road, Limerick V94 P2FE","V94 P2FE","Limerick City West","80000","557158","655808"
"DS-131-21","Old Church Street, Abbeyfeale, Co. Limerick","","Newcastle West","5000","511386","626783"
"DS-018-22","19 Saint Ita's Street, Saint Mary's Park, Limerick V94 WP0E","V94 WP0E","Limerick City North","30000","557564","658416"
"DS-013-22","Liskennett West, Granagh, Co. Limerick V35 W582","V35 W582","Adare/Rathkeale","40000","548292","634552"
"DS-043-22","Corner of Crawford & Main Street, Bruff, Co. Limerick","","Cappamore/Kilmallock","100000","562817","636141"
"DS-051-22","Tournafulla, Co. Limerick","V42X303","Newcastle West","50000","521958","624617"
"DS-048-21","Ferndale, Ennis Road, Limerick","","Limerick City North","120000","554568","658339"
"DS-128-21","4 Saint Bridgets Terrace, Farranshone Road, Limerick V94 K6DK","V94 K6DK","Limerick City North","200000","556961","657735"
"DS-025-17","Ballybrown, Clarina, Co. Limerick","","Limerick City West","120000","550524","653727"
"DS-097-21","2 Ground Floor Commercial Units, Old Saint Francis Street, Limerick","V94 N7X6","Limerick City North","50000","558043","657174"
"DS-063-22","13 Pike Avenue, Garryowen, Limerick V94 V0RX","V94 V0RX","Limerick City North","70000","558766","656549"
"DS-025-22","Gortboy, Newcastle West, Co. Limerick","","Newcastle West","100000","528349","634058"
"DS-037-21","O'Donoghue's Farmhouse, Rathurd, Ballysheedy East, Co. Limerick","","Limerick City East","130000","558364","654203"
"DS-033-22","19 Nicholas Street, Limerick","V94 A7X6","Limerick City North","90000","557775","657768"
"DS-024-18","Cathedral Place, Limerick","","Limerick City North","60000","558146","656925"
"DS-027-18","Fintech, Smyths Lane, Cathedral Place, Limerick V94 CR67","V94 CR67","Limerick City North","40000","558138","656935"
"DS-071-22","Smiths Lane, Cathedral Place, Limerick","","Limerick City North","40000","558136","656940"
"DS-118-21","The Square, Galbally, Co. Limerick","","Cappamore/Kilmallock","100000","579821","627788"
"DS-002-22","Ballyorgan, Co. Limerick","","Cappamore/Kilmallock","30000","567979","618411"
"DS-050-21","Greenpark Avenue, South Circular Road, Limerick","","Limerick City West","30000","556259","655284"
"DS-083-21","39/40 Lord Edward Street, Limerick","V94 DC64","Limerick City West","100000","557481","656272"
"DS-016-17","Old Street, Galbally, Co. Limerick","","Cappamore/Kilmallock","30000","580600","627912"
