ref,address,eircode,date_entered,valuation
"DS19/43","O Brien Flats Knock Road Claremorris Co Mayo F12Y1T9, F12Y314","F12 Y1T9","2019-10-10","100000"
"DS19/46","61 Lisnaboley, Claremorris, Co Mayo","","2020-02-28","80000"
"DS19/51","Mount Street, Claremorris, Co Mayo","","2019-10-31","60000"
"DS19/59","Town Hall Road, Claremorris, Co Mayo","","2019-12-11","5000"
"DS19/60","James Street, Claremorris, Co Mayo","","2019-10-31","235000"
"DS19/63","James Street, Claremorris, Co Mayo (beside bank on corner F12 VF95).","F12 VF95","2019-12-11","50000"
"DS19/65","Dalton Street, Claremorris, Co Mayo","","2020-07-08","14000"
"DS19/66","Convent Road, Claremorris, Co Mayo F12 T8K1","F12 T8K1","2020-07-08","100000"
"DS19/72","15 Lui Na Greine, Claremorris, Co Mayo F12 D2F5","F12 D2F5","2022-09-01","130000"
"DS19/73","Old Convent, Claremount, Claremorris, Co Mayo F12WP03","F12 WP03","2024-02-12","250000"
"DS19/75","Mount Street, Claremorris, Co Mayo F12 N8N8","F12 N8N8","2023-05-17","80000"
"DS2025/22","16 Ard Rua, Claremorris, Co Mayo F12 P6K5","F12 P6K5","2025-06-23",""
"DS2025/43","43 Lisnaboley, Claremorris, Co Mayo F12 TK35","F12 TK35","2026-02-20",""
"DS2025/44","37 Grattan Manor, Grattan Park, Claremorris, Co Mayo F12 R7P3","F12 R7P3","2025-11-26","190000"
"DS2026/06","James Street, Claremorris, Co Mayo F12 R7F7","F12 R7F7","2026-02-20",""
"DS2026/04","Mount Street, Claremorris, Co Mayo F12 EH61","F12 EH61","2026-02-20",""
"DS2026/02","Convent Road, Claremorris, Co Mayo F12 RY61","F12 RY61","2026-02-20",""
"DS23/01","Main Street, Cong, Co Mayo F31 H585","F31 H585","2021-09-28","150000"
"DS02/01","Dispensary Road, Foxford, Co Mayo","","2023-03-23","60000"
"DS02/04","Davitt St, Foxford, Co Mayo F26 DY61","F26 DY61","2023-03-23","100000"
"DS2024/21","House without a roof, Irishtown, Foxford, Co Mayo","","2025-01-08",""
"DS2024/26","Derelict Estate, Barrack Road, Foxford, Co Mayo","","2026-03-05",""
"DS2024/22","Irishtown, Foxford, Co Mayo F26 EY90","F26 EY90","2025-01-08",""
"DS2025/17","63 Assumpta Place, Foxford, Co Mayo F26 FN51","F26 FN51","2025-05-06",""
"DS04/07","Old Petrol Station, N17, Kilkelly, Co Mayo","","2019-12-11","40000"
"DS04/08","Bridge Street. Kilkelly, Co Mayo F35 V840","F35 V840","2020-10-08","70000"
"DS04/14","High Street, Kilkelly, Co Mayo F35 AP92","F35 AP92","2020-10-06","100000"
"DS04/16","Ballaghaderreen Road, Kilkelly, Co Mayo","","2020-10-06","100000"
"DS2025/18","29 Highland Park, Kilkelly, Co Mayo F35 AK25","F35 AK25","2025-05-19",""
"DS2025/21","32 Highland Park, Kilkelly, Co Mayo F35 KW27","F35 KW27","2025-05-19","70000"
"DS2025/20","31 Highland Park, Kilkelly, Co Mayo F35 HP40","F35 HP40","2025-05-19",""
"DS2025/19","30 Highland Park, Kilkelly, Co Mayo F35 AX89","F35 AX89","2025-05-19",""
"DS12/34","Thomas Street, Kiltimagh, Co Mayo","","2009-07-10","80000"
"DS12/47","""Raftery Room"", Main Street, Kiltimagh, Co Mayo","","2020-02-06","60000"
"DS12/51","Ballinamore, Kiltimagh, Co Mayo F12RK72","F12 RK72","2021-04-15","70000"
"DS12/52","Former Commercial Unit, Main Street, Kiltimagh, Co Mayo F12EK84.","F12 EK84","2024-09-19","60000"
"DS12/56","A. Cleary & Sons Limited, George's Street, Kiltimagh, Co Mayo","","2024-09-19","50000"
"DS2024/20","Former N17 Night-Club, Main Street, Kiltimagh, Co Mayo F12 ND32","F12 ND32","2025-01-08",""
"DS2025/35","James Street, Kiltimagh, Co Mayo F12 KV00","F12 KV00","2025-08-27",""
"DS06/01","Belmont Hotel, Churchfield, Knock, Co Mayo F12 XF64","F12 XF64","2020-11-18","390000"
"DS06/01(a)","Churchfield, Knock, Co Mayo","","2017-03-14","150000"
"DS06/08","Cloondace, Knock, Co Mayo","","2021-01-21","70000"
"DS06/09","Carrowmore, Knock, Co Mayo F12 DV58","F12 DV58","2021-01-21","235000"
"DS31/01","Roundfort Stores, Roundfort, Hollymount, Co Mayo F12 R2E1","F12 R2E1","2023-02-17","300000"
"DS05/06","Main St., Shrule, Co Mayo","","2012-03-12","60000"
"DS15/25","Old Dwelling House, Pound Lane, Swinford, Co Mayo F12 R1X9","F12 R1X9","2020-01-10","80000"
"DS15/34","Chapel Street, Swinford, Co Mayo","","2023-05-17","60000"
"DS15/35","Station Road, Swinford, Co Mayo F 12 D8660","","",""
"DS15/36","St. Ita's Terrace, Swinford, Co Mayo","","2018-10-30","40000"
"DS15/37","Brookville Ave. Swinford, Co Mayo","","2018-10-30","40000"
"DS15/38","Brookville Ave. Swinford, Co Mayo","","2018-10-30","40000"
"DS15/47","Pound Lane, Swinford, Co Mayo","","2018-11-29","60000"
"DS15/48","Pound Lane, Swinford, Co Mayo","","2018-11-29","60000"
"DS15/49","Bridge Street, Brookville Avenue, Swinford, Co Mayo","","2023-03-23","60000"
"DS15/50","Brookville Avenue, Swinford, Co Mayo","","2023-03-23","30000"
"DS15/51","Brookville Avenue, Swinford, Co Mayo","","2023-03-23","40000"
"DS15/54","Davitt Place, Swinford, Co Mayo F12 VY82","F12 VY82","2023-03-23","60000"
"DS15/55","Station Road, Swinford, Co Mayo F 12 D8660","","2023-03-23","80000"
"DS15/57","Main Street, Swinford, Co Mayo F12 TY79.","F12 TY79","2024-07-16","85000"
"DS15/58","Main Street, Swinford, Co Mayo F12 D1R8","F12 D1R8","2023-05-17","70000"
"DS15/59","Main Street, Swinford, Co Mayo F12 R298","F12 R298","2023-05-17","80000"
"DS15/60","No. 3 Chapel Row, Swinford, Co Mayo F12 P522.","F12 P522","2023-12-19","100000"
"DS15/61","No (12) Gleann Darach, Swinford, Co Mayo F12 K318","F12 K318","2023-12-19","120000"
"DS15/62","No (13) Gleann Darach, Swinford, Co Mayo F12 WF64.","F12 WF64","2024-03-13","120000"
"DS15/63","No (14) Gleann Darach, Swinford, Co Mayo F12X722","F12 X722","2024-03-13","150000"
"DS2024/14","Ballina Road, Swinford, Co Mayo F12 T289","F12 T289","2025-01-08",""
"DS2025/15","Rathscanlan, Swinford, Co Mayo F12 D925","F12 D925","2025-05-06",""
"DS2025/36","Carrowneden (House 1), Killasser, Swinford, Co Mayo","","2025-12-08",""
