ref,address,eircode,date_entered,easting,northing
"ENV-C-24-(2-25)","No. 82 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 83 Glen Court, Emly","","2025-10-01","",""
"ENV-C-24-(2-25)","No. 84 Glen Court, Emly","","2025-10-01","",""
"TRT.25.030","77 Silver Street, Nenagh","","2025-11-07","",""
"TRT.25.028","75 Willow Close, Clonmel","","2025-11-07","",""
"TRT.25.029","The Dairy, Powerstown Road, Clonmel","","2025-11-07","",""
"TRT.25.031","Rocklow Road, Fethard E91KW58","E91 KW58","2026-01-08","",""
"TRT.25.033","20 St Patrick's Terrace, Clonmel, Co. Tipperary E91 FV59","E91 FV59","2026-01-08","",""
"TRT.26.004","4 Emmet Street, Clonmel","","2026-04-29","",""
"TRT.26.004","5 Emmet Street, Clonmel","","2026-04-29","",""
"TRT.26.005","7 Emmet Street, Clonmel","","2026-04-29","",""
"TRT.26.008","9 Emmet Street, Clonmel","","2026-04-29","",""
"TRT.26.014","Main Street Upper, Cappawhite","","2026-04-29","",""
"TRT.26.016","Main Street Upper, Cappawhite","","2026-04-29","",""
"TRT.26.010","Church Street, Bunacum, Toomevara E45 X924","E45 X924","2026-04-30","",""
"TRT.26.011","Church Street, Toomevara E45 PY58","E45 PY58","2026-04-30","",""
"TRT.26.013","Main street, Roscrea, Co. Tipperary E53 KV22 - TY72199F","E53 KV22","2026-04-30","",""
"TRT.26.018","13 Mitchel Street, Nenagh, Co. Tipperary. E45 YW20","E45 YW20","2026-05-06","",""
"TRT.26.019","14 Mitchel Street, Nenagh, Co. Tipperary. E45 V266","E45 V266","2026-05-06","",""
"TRT.26.022","32 Pearse Street, Nenagh, Co. Tipperary. E45 VX33","E45 VX33","2026-05-06","",""
"TRT.26.023","Lower Birr Road, Nenagh, Co. Tipperary. E45 YT54","E45 YT54","2026-05-06","",""
"TRT.26.025","Ferndale, Tyone, Nenagh, Co. Tipperary","","2026-05-06","",""
"TRT.25.014","7 Catherine Street, Clonmel","","2026-05-15","",""
"TRT.25.035","72 Caiseal na Rí, Cashel, Co. Tipperary","","2026-05-25","",""
"TRT.25.035","73 Caiseal na Rí, Cashel, Co. Tipperary","","2026-05-25","",""
"TRT.25.035","85 Caiseal na Rí, Cashel, Co. Tipperary","","2026-05-25","",""
"TRT.25.035","87 Caiseal na Rí, Cashel, Co. Tipperary","","2026-05-25","",""
"TRT.25.035","95 Caiseal na Rí, Cashel, Co. Tipperary","","2026-05-25","",""
"TRT.25.035","98 Caiseal na Rí, Cashel, Co. Tipperary","","2026-05-25","",""
"TRT.25.035","109 Caiseal na Rí, Cashel, Co. Tipperary","","2026-05-25","",""
"TRT.25.035","110 Caiseal na Rí, Cashel, Co. Tipperary","","2026-05-25","",""
"TRT.26.003","Newsworld, Market Place, Clonmel","","2026-05-25","",""
