ref,address,date_entered
"DSP 1851","Monerea House, Albert Street, Cork T12 VAP6","2025-09-19"
"DSP 2117","T45A611 32 Watercourse Road, Blackpool, Cork","2026-05-15"
"DSP 2014","36 St. Anne's Drive, Montenotte, Cork","2026-06-12"
"DSP 1414","1 Togher Road, Cork","2026-06-26"
"DSP 2242","9 Liffey Park, Mayfield, Cork, T23 D1H1","2026-06-26"
"DSP 1943","49/50 Old Market Place (junction of Wolfe Tone Street & Glen Ryan Road)","2022-02-18"
"DSP 2025","Forecourt at 49/50 Old Market Place (junction of Wolfe Tone St. & Glen Ryan Rd.)","2022-02-04"
"DSP 2036","1 Alms Cottages, Glanmire Village, also known as 1 The Cottages","2022-12-02"
"DSP 2037","2 Alms Cottages, Glanmire Village also known as 2 The Cottages","2022-12-02"
"DSP 2038","3 Alms Cottages, Glanmire Village also known as 3 The Cottages","2022-12-02"
"DSP 2154","1-6 Woodlea Cottages, Eastcliffe, Ballinglanna, Glanmire, Cork T45A611","2026-03-13"
